地域,,,,,,,,人口,平成22年,平成22年～27年の,平成22年～27年の,,,,,年齢（総数）,,,,年齢別割合（総数）,,,年齢（男）,,,,年齢別割合（男）,,,年齢（女）,,,,年齢別割合（女）,,,,国籍,,世帯,,,,,,,,,,,,,
,,,,,,,,総数,組替人口,人口増減数,人口増減率,面積,人口密度,平均年齢,年齢中位数,"総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","15歳未満
人口割合","15～64歳
人口割合","65歳以上
人口割合","総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","15歳未満
人口割合","15～64歳
人口割合","65歳以上
人口割合","総数
人口","15歳未満
人口","15～64歳
人口","65歳以上
人口","15歳未満
人口割合","15～64歳
人口割合","65歳以上
人口割合",人口性比,日本人,外国人,世帯総数,一般世帯,施設等の世帯,平成22年組替世帯総数,一般世帯数,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（女100人につき男）,,,,,,,,"うち
01,01207,,,,2,北海道,帯広市,"169,327 ","168,057 ","1,270",0.8,619.34 ,273.4,46.7 ,47.6 ,"169,327 ","20,566 ","103,890 ","44,636 ",12.2 ,61.4 ,26.4 ,"80,994 ","10,589 ","51,271 ","18,963 ",13.1 ,63.4 ,23.5 ,"88,333 ","9,977 ","52,619 ","25,673 ",11.3 ,59.6 ,29.1 ,91.7 ,"168,800 ",524 ,"77,707 ","77,525 ",182 ,"75,474 ","77,525 ","42,823 ","18,062 ","17,442 ",975 ,"6,344 ","29,720 ","8,907 ","9,615 ","2,359 "
01,01208,,,,2,北海道,北見市,"121,226 ","125,689 ","-4,463",-3.6,"1,427.41 ",84.9,48.9 ,50.9 ,"121,226 ","13,570 ","70,781 ","36,437 ",11.2 ,58.6 ,30.2 ,"58,020 ","6,897 ","35,523 ","15,291 ",12.0 ,61.6 ,26.5 ,"63,206 ","6,673 ","35,258 ","21,146 ",10.6 ,55.9 ,33.5 ,91.8 ,"120,936 ",283 ,"56,202 ","56,043 ",159 ,"56,012 ","56,043 ","31,420 ","14,234 ","12,134 ",639 ,"4,413 ","21,103 ","7,328 ","8,072 ","1,716 "
01,01209,,,,2,北海道,夕張市,"8,843 ","10,922 ","-2,079",-19.0,763.07 ,11.6,59.3 ,64.4 ,"8,843 ",500 ,"4,045 ","4,296 ",5.7 ,45.8 ,48.6 ,"4,092 ",241 ,"2,090 ","1,759 ",5.9 ,51.1 ,43.0 ,"4,751 ",259 ,"1,955 ","2,537 ",5.5 ,41.1 ,53.4 ,86.1 ,"8,755 ",88 ,"4,539 ","4,526 ",13 ,"5,558 ","4,526 ","2,256 ","1,299 ",575 ,57 ,325 ,"1,984 ","1,178 ",922 ,121 
01,01210,札幌,,,2,北海道,岩見沢市,"84,499 ","90,145 ","-5,646",-6.3,481.02 ,175.7,50.2 ,53.3 ,"84,499 ","8,983 ","47,848 ","27,503 ",10.7 ,56.7 ,32.6 ,"39,319 ","4,597 ","23,127 ","11,509 ",11.7 ,58.9 ,29.3 ,"45,180 ","4,386 ","24,721 ","15,994 ",9.7 ,54.8 ,35.5 ,87.0 ,"84,215 ",96 ,"36,155 ","36,060 ",95 ,"36,723 ","36,060 ","21,610 ","9,418 ","8,456 ",517 ,"3,219 ","11,431 ","5,234 ","5,712 ","1,736 "
01,01211,,,,2,北海道,網走市,"39,077 ","40,998 ","-1,921",-4.7,471.00 ,83.0,47.2 ,48.3 ,"39,077 ","4,571 ","23,698 ","10,691 ",11.7 ,60.8 ,27.4 ,"19,819 ","2,358 ","12,794 ","4,578 ",12.0 ,64.8 ,23.2 ,"19,258 ","2,213 ","10,904 ","6,113 ",11.5 ,56.7 ,31.8 ,102.9 ,"38,807 ",188 ,"18,035 ","17,984 ",51 ,"18,112 ","17,984 ","9,153 ","4,147 ","3,583 ",182 ,"1,241 ","7,571 ","2,169 ","2,316 ",675 
01,01212,,,,2,北海道,留萌市,"22,221 ","24,457 ","-2,236",-9.1,297.83 ,74.6,51.1 ,54.2 ,"22,221 ","2,290 ","12,391 ","7,513 ",10.3 ,55.8 ,33.9 ,"10,516 ","1,137 ","6,298 ","3,069 ",10.8 ,60.0 ,29.2 ,"11,705 ","1,153 ","6,093 ","4,444 ",9.9 ,52.1 ,38.0 ,89.8 ,"22,106 ",99 ,"10,402 ","10,358 ",44 ,"11,044 ","10,358 ","5,774 ","2,895 ","1,990 ",120 ,769 ,"3,877 ","1,619 ","1,655 ",334 
01,01213,,,,2,北海道,苫小牧市,"172,737 ","173,320 ",-583,-0.3,561.57 ,307.6,46.3 ,47.0 ,"172,737 ","22,401 ","105,217 ","44,469 ",13.0 ,61.1 ,25.8 ,"84,605 ","11,469 ","53,472 ","19,164 ",13.6 ,63.6 ,22.8 ,"88,132 ","10,932 ","51,745 ","25,305 ",12.4 ,58.8 ,28.8 ,96.0 ,"172,161 ",405 ,"78,298 ","78,145 ",153 ,"76,289 ","78,145 ","45,158 ","18,848 ","19,157 ","1,042 ","6,111 ","28,681 ","9,201 ","9,876 ","1,971 "
01,01214,,,,2,北海道,稚内市,"36,380 ","39,595 ","-3,215",-8.1,761.47 ,47.8,48.5 ,50.5 ,"36,380 ","4,304 ","21,570 ","10,505 ",11.8 ,59.3 ,28.9 ,"17,809 ","2,218 ","11,172 ","4,419 ",12.5 ,62.7 ,24.8 ,"18,571 ","2,086 ","10,398 ","6,086 ",11.2 ,56.0 ,32.8 ,95.9 ,"36,082 ",298 ,"16,486 ","16,445 ",41 ,"17,343 ","16,445 ","9,191 ","4,078 ","3,635 ",230 ,"1,248 ","5,972 ","2,084 ","2,227 ",665 
01,01215,札幌,,,2,北海道,美唄市,"23,035 ","26,034 ","-2,999",-11.5,277.69 ,83.0,53.5 ,57.8 ,"23,035 ","1,973 ","12,205 ","8,853 ",8.6 ,53.0 ,38.4 ,"10,753 ","1,039 ","6,074 ","3,638 ",9.7 ,56.5 ,33.8 ,"12,282 ",934 ,"6,131 ","5,215 ",7.6 ,49.9 ,42.5 ,87.6 ,"23,000 ",33 ,"10,173 ","10,098 ",75 ,"10,992 ","10,098 ","5,620 ","2,668 ","1,924 ",155 ,873 ,"3,567 ","1,992 ","1,771 ",481 
01,01216,,,,2,北海道,芦別市,"14,676 ","16,628 ","-1,952",-11.7,865.04 ,17.0,56.2 ,61.6 ,"14,676 ","1,109 ","7,160 ","6,405 ",7.6 ,48.8 ,43.6 ,"6,667 ",566 ,"3,473 ","2,626 ",8.5 ,52.1 ,39.4 ,"8,009 ",543 ,"3,687 ","3,779 ",6.8 ,46.0 ,47.2 ,83.2 ,"14,634 ",42 ,"6,862 ","6,828 ",34 ,"7,526 ","6,828 ","3,897 ","2,046 ","1,161 ",105 ,585 ,"2,395 ","1,440 ","1,376 ",236 
